Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2008,4,173.117
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2008,4,4.015
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2008,4,1.607
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2008,4,2.408
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2008,4,0.12
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2008,4,16.121
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2008,4,150.737
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2008,4,20.505
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2008,4,1.932
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2008,4,18.573
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2008,4,1.447
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2008,4,0.956
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2008,4,13.322
"Total economy","All workers",Farm,Employment,"Millions of jobs",2008,4,2.182
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2008,4,112.325
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2008,4,100.022
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2008,4,2.05
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2008,4,0.843
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2008,4,1.207
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2008,4,0.072
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2008,4,10.181
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2009,1,255.094
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2009,1,37.42
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2009,1,3.929
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2009,1,33.492
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2009,1,2.667
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2009,1,1.088
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2009,1,21.389
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2009,1,4.056
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2009,1,188.474
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2009,1,168.341
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2009,1,3.927
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2009,1,1.555
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2009,1,2.372
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2009,1,0.093
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2009,1,16.113
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2009,1,148.4
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2009,1,20.531
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2009,1,1.956
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2009,1,18.575
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2009,1,1.456
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2009,1,0.867
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2009,1,13.34
"Total economy","All workers",Farm,Employment,"Millions of jobs",2009,1,2.103
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2009,1,110.102
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2009,1,97.719
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2009,1,2.04
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2009,1,0.836
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2009,1,1.204
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2009,1,0.059
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2009,1,10.284
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2009,2,250.662
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2009,2,37.455
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2009,2,4.103
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2009,2,33.352
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2009,2,2.666
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2009,2,1.176
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2009,2,21.231
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2009,2,4.069
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2009,2,184.065
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2009,2,164.012
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2009,2,3.87
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2009,2,1.505
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2009,2,2.365
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2009,2,0.105
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2009,2,16.079
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2009,2,146.622
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2009,2,20.6
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2009,2,2.043
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2009,2,18.557
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2009,2,1.46
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2009,2,0.905
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2009,2,13.344
"Total economy","All workers",Farm,Employment,"Millions of jobs",2009,2,2.107
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2009,2,108.206
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2009,2,95.809
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2009,2,2.023
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2009,2,0.822
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2009,2,1.201
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2009,2,0.061
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2009,2,10.312
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2009,3,248.022
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2009,3,36.911
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2009,3,4.02
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2009,3,32.89
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2009,3,2.644
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2009,3,1.194
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2009,3,21.251
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2009,3,3.984
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2009,3,182.039
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2009,3,162.041
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2009,3,3.845
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2009,3,1.481
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2009,3,2.364
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2009,3,0.123
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2009,3,16.029
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2009,3,145.581
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2009,3,20.495
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2009,3,2.019
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2009,3,18.475
